Iteration,Added functionality,Stage 1,Stage 2,Difference
1,Acute stroke unit (ASU) arrivals,1,3,2
2,Sample post stroke unit destination,1,1,0
3,Acute stroke unit length of stay (1),1,2,1
4,Acute stroke unit length of stay (2),1,1,0
5,Organise parameters,1,1,0
6,Track ASU bed occupancy,1,1,0
7,Functionality to suppress simulation event log,2,2,0
8,ASU results collection functionality,1,2,1
9,ASU occupancy plot,1,1,0
10,ASU probability of delay,1,1,0
11,Bug fix: add back in code that was removed by LLM,1,0,-1
12,Rehab external arrivals,1,1,0
13,Organise parameters,2,2,0
14,Rehab unit length of stay (1),1,1,0
15,Organise parameters,2,3,1
16,Rehab unit length of stay (2),1,1,0
17,Track Rehab unit bed occupancy,1,1,0
18,Rehab unit results collection functionality,2,2,0
19,Link ASU and Rehab models (1),1,1,0
20,Link ASU and Rehab models (2),2,6,4
21,Warm-up period,2,5,3
22,Multiple replications (1),1,1,0
23,Multiple replications (2),1,2,1
24,Common random numbers (1),1,1,0
25,Common random numbers (2),1,1,0
26,Common random numbers (3),2,5,3
27,Common random numbers (4),2,2,0
28,Model interface (1),1,1,0
29,Model interface (2),1,2,1
30,Model interface (3),1,1,0
31,Bug fix,3,3,0
